tran_id,TRAN_DATE,user_id,pro_id,amt
YSUMR,2017-11-30,1370,14,62941.65604881545
XNTNM,2016-09-03,1313,5,47063.231844703645
RSPLM,2017-01-31,192,2,63.10349317231179
ZUZLY,2017-03-28,1424,15,16700.312529904248
CTAGE,2017-09-04,572,14,100555.39723895257
UPCJC,2016-10-29,430,4,58787.869164304655
AUGXB,2017-02-11,660,9,56262.19355589883
TKUZH,2017-07-18,552,2,195934.18582650632
HWEBJ,2016-12-21,593,6,9294.019569472934
FCDPF,2017-01-19,653,10,163523.34510537784
DHUXG,2016-09-17,857,1,111188.3978687882
DVYNH,2017-04-14,385,11,65706.63422507478
TFIXJ,2017-05-19,105,14,106085.83159830076
NNSKB,2017-04-02,1148,6,15787.893282932086
ANBPT,2017-03-01,127,4,156237.90026057954
XGZSD,2017-07-04,1253,14,196634.5875162723
YKQAK,2017-03-27,1417,12,23247.761953445668
QFYNI,2017-10-28,79,5,162481.85764822274
QMLJA,2017-09-11,99,6,162385.41203238812
ZGQQQ,2017-06-13,413,3,84461.97084725673
ALZMJ,2017-06-23,890,14,62473.92579262181
CUMXO,2016-08-23,954,12,137427.01833270025
OQMVT,2017-01-25,1418,7,60221.041328488776
CHBBY,2017-08-30,416,7,111984.37166163772
JXXDZ,2017-01-02,701,3,133126.96826035748
ICZXS,2017-04-14,1290,6,199967.60923522938
UINAH,2017-12-09,580,5,156872.65536791424
DNFUN,2017-09-01,1054,6,195920.918125267
JRNQQ,2017-12-04,220,14,26225.04081996724
MNRSM,2017-06-19,962,6,36876.849758826924
JZLZJ,2016-11-11,92,6,102136.08657562776
ZMZPL,2017-12-13,95,15,75238.48857565165
HSRET,2016-12-19,1049,15,192994.28910435305
JFTHL,2017-05-18,971,9,136486.94554595463
KEZNY,2017-04-09,661,2,120687.54934902834
XLQPN,2017-03-28,1012,5,118748.1074732676
SUPFI,2017-11-23,453,5,149215.49064640581
PQQRF,2016-10-23,1266,11,46323.4159240153
EDNSQ,2017-03-29,283,14,74558.83503873782
HMZFG,2016-10-06,1266,12,112176.31121436773
HPLVE,2016-10-12,279,15,14027.141381839736
EHXAE,2017-05-29,999,10,98757.4141639171
HDYSB,2017-10-10,1395,7,116544.06361801153
SERKC,2016-10-07,909,10,52375.01594145881
IEPYV,2017-10-20,1495,5,906.1036924997268
QZZDN,2017-03-22,1379,8,61777.56388011115
OXMDZ,2017-06-16,732,3,33273.5472648888
DSDED,2017-03-30,1461,16,25492.31642748313
EQRVU,2017-07-08,848,7,72985.57111950885
PEFEN,2017-11-04,676,6,81844.74966234325
FIOWG,2017-08-18,804,8,123809.8862624632
SVZRX,2017-11-11,691,15,2924.8581214234905
MPHXW,2017-05-22,394,6,91850.01209726193
JIIIA,2017-05-19,409,16,75610.43511104395
UYSNA,2017-09-01,433,6,46334.76788515123
ZOPOR,2017-11-15,264,1,34884.35914788721
EZIIQ,2017-04-15,933,2,102627.74167909555
YCALQ,2017-09-16,648,14,31101.360173618552
VPJFV,2017-02-13,1461,13,27826.807982029433
TUWJB,2016-07-21,436,4,160163.60284402367
EGPJK,2017-11-19,451,3,81956.99693745183
VHYJO,2017-08-06,123,4,196006.19564273875
MCQPX,2016-07-28,1269,12,56628.66817116106
VMMOF,2016-08-13,318,9,116440.67844166997
USNBW,2017-05-06,1355,5,137729.14050022734
BOFIY,2016-12-23,409,13,115336.46877674868
XXRGW,2017-04-20,725,6,193663.25971609817
LUFPU,2016-07-12,405,15,173959.29547961656
EIFFY,2016-07-26,1139,11,30456.01100179327
KAUDE,2016-08-30,78,5,130138.21660250428
PTVBK,2017-01-16,592,11,42828.68367997252
HESZJ,2017-05-28,1407,12,108701.22726494378
ASVTQ,2017-01-02,617,5,175566.08214756259
YTWYQ,2016-07-07,45,12,16279.276643552153
KMSJU,2017-12-02,1095,6,152344.6755403742
YHXXO,2016-10-28,321,11,190354.48314730602
EJRZU,2017-07-08,1328,1,115604.29892127542
UKJRU,2017-10-08,1121,8,95967.5400341335
VDKVV,2017-06-04,1457,5,86637.9449611997
LYSRW,2017-08-28,1148,3,21724.45096000042
IKCOU,2016-10-07,819,1,9788.029127214992
PJZZD,2017-12-28,193,12,120378.50355874622
WUTGK,2017-04-14,666,9,43295.7618140031
ZVNLH,2017-08-25,1394,16,184086.57296105652
ZNUOY,2016-11-22,1036,9,21319.4204175968
ZYXUK,2017-04-05,77,1,145924.06264034903
OUUPJ,2017-05-26,928,11,98247.56242096052
HVNRZ,2017-03-26,302,9,184648.01184558377
CBCTX,2017-04-19,776,16,92902.56436792618
SXJVW,2016-12-05,1025,15,183309.07098232541
RYEHD,2017-05-02,834,1,157076.9852531461
ABQWW,2016-07-14,1231,5,148602.42058860546
POABR,2017-03-19,418,7,122101.26345019999
OLFZZ,2017-06-03,1337,15,142917.75825874667
ZXKNL,2017-09-21,842,6,90351.6585927912
HEQOM,2017-05-16,465,9,66366.29242866758
FROQQ,2017-06-20,759,11,97347.87443214555
IHSEG,2017-10-19,657,5,168714.0879945535
LCBFB,2017-01-03,984,5,16360.980096704614
FRRMS,2016-12-20,1165,16,79891.60796096806
QGTYO,2017-05-13,1137,16,193545.193074079
AFGZI,2017-03-26,710,4,68627.42839012414
WVIVM,2017-01-23,339,11,71536.61510130003
TBVTA,2017-12-02,297,9,188739.81980577638
DKNKK,2017-08-14,825,4,92195.17230776689
OEZLL,2016-08-12,1,7,145657.33125156426
BPLPV,2017-10-20,461,1,175857.6691520469
WQEEB,2017-04-30,243,8,154228.3312363275
ENUVN,2017-03-13,71,6,186050.0096441472
TJZIY,2017-03-27,1226,3,53473.959107530696
FSRHX,2017-07-24,687,1,143162.1064615064
MROIK,2017-04-08,1448,16,194175.69237037454
NUYOD,2017-05-03,123,2,188582.1884322014
KYGUX,2016-11-12,494,15,119510.262785453
FEGWA,2017-03-25,102,2,20338.474772992955
BTOMN,2016-11-01,1424,14,1953.8851570559457
AEJJZ,2017-11-08,1233,11,146021.57085370598
PXIGM,2016-10-29,274,2,130504.72938697496
WWUXG,2017-08-03,420,8,51838.15426633442
JWFFH,2017-06-15,1489,14,106477.16170533697
TKJDW,2016-11-30,816,11,182979.269982855
LSKVG,2017-10-02,1244,16,169791.05220097533
PDDMV,2016-08-20,742,15,62940.99622767888
GVTRU,2016-10-02,804,6,107038.05318777302
CDHFH,2017-01-16,850,2,140859.77118736706
DURXK,2017-01-10,1172,8,176829.633717915
XGFFM,2017-04-11,706,16,135664.5852301791
OMTMJ,2017-03-15,625,7,82816.79581071241
ULEHU,2016-09-17,1035,10,5049.23211578805
BAJAD,2016-12-13,999,9,91794.58741095639
GEQKO,2017-10-20,384,9,87582.26970408582
SNTFE,2017-06-13,1276,9,194613.00978597117
WUWCH,2017-04-06,168,14,35095.382844063504
NPVHH,2016-07-15,36,15,175979.78060136942
TIDYW,2016-08-28,298,16,27409.225126937774
KWUSD,2017-08-27,72,10,10952.1002617337
YKJJD,2017-03-21,715,5,25498.60809290234
ETGKI,2017-05-27,414,10,58998.634700212446
LPYAU,2016-09-28,25,4,108213.4689232139
QRZSZ,2016-12-23,683,14,122236.39357705915
GRCFV,2017-03-11,978,11,21997.597989440077
BKGDM,2017-06-13,417,6,2221.4308558108796
ULKIK,2017-11-03,207,15,38991.90806038697
NOYHM,2017-08-01,185,5,170399.67745398855
GWROX,2016-10-16,956,2,197783.68596063342
XKFSS,2016-08-22,459,9,154574.10064808984
YNBCV,2017-10-29,1065,12,70268.080565677
GCOEV,2017-05-11,29,1,175107.1948281536
QKZJM,2017-07-23,1374,2,2360.29090989478
KMIIE,2016-08-14,1125,11,63224.49918013375
TQZFX,2016-10-03,928,4,74692.21306131224
PGHBY,2017-10-28,633,7,178495.9076600967
LNUTZ,2017-03-11,866,16,113543.3412168857
YOFHP,2017-03-02,114,9,34071.89641761919
CHARH,2017-04-24,1421,16,172440.93465904528
DOOFY,2017-03-02,150,10,174447.28280026442
DFTVF,2017-10-09,931,2,108526.80457843047
UFJTN,2017-06-02,984,2,101403.58204001356
KYIYE,2017-03-09,247,14,142475.09317882432
VJEJA,2017-07-05,677,16,156378.35143296586
CRFWD,2017-08-07,1372,15,15829.248705475597
ZFHMH,2016-11-09,1341,10,90669.51991619299
XNFTZ,2016-08-29,1300,6,555.5812913808467
ZKFUX,2017-09-24,787,4,130369.0850448382
YNEWC,2017-03-17,803,4,72765.17344397973
OIMXB,2016-07-22,614,2,86767.94062401055
PIOXL,2017-09-19,1339,10,67225.12819901756
VEIUD,2016-11-12,1216,15,99589.2646413031
QRLHO,2016-10-22,1363,8,18685.389511250272
BZTKG,2016-10-21,298,8,91390.17868159343
YRCJM,2017-12-13,1312,3,77306.20093664798
WNMTS,2016-08-07,281,12,182546.21481414
VGDLU,2017-08-28,43,1,13318.85663889325
MWCZA,2016-07-25,153,6,38405.32391580109
RKYRT,2017-01-19,1205,4,13339.224035904863
HQYIE,2017-01-05,8,8,50340.36794744945
LDIBH,2016-07-30,1006,11,145796.87802030513
DPWJL,2017-06-18,1438,15,173548.88372584456
WBFXX,2016-10-22,300,8,14060.993880528682
BAIGL,2017-10-03,171,10,14007.600011306942
TXKGA,2017-08-01,948,15,82880.60602627126
ZDXYR,2017-12-01,432,10,116113.76851701463
TEBEU,2017-10-30,522,10,35299.16620054547
VFUHF,2017-12-19,35,15,106048.57496502473
JONWU,2017-03-21,722,9,89735.11703352118
HPNUC,2017-11-24,802,1,112715.9880671117
ZDRZC,2017-09-26,1009,8,73728.65698829887
CJBRR,2017-01-14,445,11,33938.24482603429
WLZNK,2017-10-05,182,13,96168.19171346005
DSQXH,2017-01-09,439,7,141155.02721136005
RVQBJ,2017-02-06,1306,4,180703.93337039227
EYALN,2017-11-25,78,16,172948.0668853282
TPYPB,2017-08-28,1097,14,180450.72353186124
KYCOD,2017-09-10,870,3,3522.234463569074
OXINO,2017-10-03,280,8,158652.79529767256
ZAKKW,2016-08-15,234,10,44790.44383243489
MPKYL,2017-03-03,1335,8,139561.3753519309
EMBSN,2017-04-20,1248,15,73146.83033848062
KWMYO,2016-09-29,1156,5,110512.13637038824
WJURE,2016-12-17,728,5,139080.35970491194
RHWZN,2016-10-28,953,16,45501.46262507293
DWXII,2016-11-28,683,9,7373.167061583285
IGBJI,2016-11-16,139,7,57649.935147163545
EGUOO,2016-07-02,219,10,2736.63038502332
MFJHR,2016-09-01,1410,10,73998.56627196637
GZDBE,2017-03-10,319,3,150394.78282822666
DTDUB,2017-08-12,266,8,16941.15388766613
TZCKP,2016-09-22,568,2,153660.32448200413
MCJUB,2017-04-17,1252,5,177387.063985031
XKPPX,2016-09-26,658,6,38423.93242948734
WKVEE,2017-03-26,1442,1,179876.78658938868
QUXUA,2016-09-14,925,1,83212.67485175938
WJWCH,2016-12-03,527,13,88128.33166367756
BVGTO,2017-12-14,104,1,58876.49947653815
FPWPU,2017-02-07,924,13,35788.96591626708
QXTXZ,2016-07-07,1284,16,170875.630132236
YECQE,2017-03-28,194,3,87184.64231534755
RJZAJ,2017-06-04,72,14,11466.49896576728
PKEUY,2017-07-22,575,1,112037.70206436988
NHDFZ,2017-01-09,434,4,21484.86292710863
TBTEH,2016-09-14,766,4,86817.01246241429
HCDIS,2017-02-23,787,10,62181.16465020669
NAUJK,2016-12-29,1344,7,180186.79726914372
IPXZZ,2017-07-27,702,12,148323.067268768
KETFI,2016-10-02,208,9,25600.543532322128
BIRCI,2017-08-07,1487,15,144118.91764504192
OAJGW,2017-10-21,1301,14,85559.19446838877
VMMSU,2017-12-05,209,7,137903.28525364524
SOGAJ,2016-10-12,1495,13,49078.462306240646
CCDQF,2017-06-05,1289,15,152917.32440088145
IPJDK,2016-12-28,119,10,191099.71800957964
NQDLL,2017-01-19,777,5,187702.6239720949
OSBLB,2017-10-06,778,6,38349.705021120295
EOWZM,2017-09-14,1215,11,48493.21089504208
SELGG,2017-06-01,1392,7,6201.73494207803
WQPGU,2017-01-19,180,14,190416.37550109407
BZEYC,2017-02-02,878,5,47985.76003788728
OZNFP,2017-02-06,1025,15,109089.501658332
UHPKV,2016-07-17,1193,8,172496.50604289927
UXYHF,2017-10-19,342,5,9991.819572550909
YLDSW,2017-08-15,1304,12,199399.289208627
QKHKT,2016-12-07,437,15,50948.51731982224
ZJYRO,2017-09-11,94,13,102723.25869163488
QSJYK,2017-04-19,1288,8,143259.58566698653
LQYNT,2017-11-04,1132,5,157698.14701361224
CTILA,2017-11-23,723,2,76702.44134944695
DBPTK,2017-07-23,1300,13,14591.585338888535
IMNKZ,2017-06-03,1151,14,90222.57285218181
TEROQ,2017-05-11,984,14,14810.69092602425
ADNQS,2017-10-18,1025,1,179750.51209158474
JTZNJ,2017-07-07,1053,11,72308.2735461262
NFNGM,2017-06-14,731,16,120302.30830151246
INGIF,2017-08-14,584,8,35240.65154580322
QJPGU,2017-05-12,734,10,50373.05740086546
KNBNF,2017-03-23,838,15,90611.75601569747
GGUQC,2017-10-28,1472,1,100297.70645788341
IAKEY,2016-09-01,130,14,182130.36685725467
YJJDZ,2017-11-21,312,6,19290.65223625075
ITDOO,2016-07-13,771,6,45210.03106408849
GXXTG,2016-11-15,1098,3,118643.80900219767
CHTKW,2017-05-05,782,4,76358.23175837168
IOZKJ,2016-12-23,457,12,48053.170032953574
TTNII,2017-07-19,55,12,50686.2408019112
PCQSB,2016-12-05,1288,13,44797.61893532519
CKWRT,2017-05-27,284,2,80562.03347043537
WYGMC,2017-02-14,18,13,13008.73173643433
LEOWD,2017-08-15,848,13,38033.4814947402
VLWVH,2016-12-25,371,7,127338.76433384522
WNWUO,2017-04-25,405,11,141278.71611827964
FGMJT,2017-03-15,1271,9,86064.86288573033
CHHQX,2017-08-11,1006,8,168720.36337501265
ASFCM,2017-08-28,948,13,44900.0063989919
IGAIC,2017-02-04,1110,8,26836.820530159854
SWOXB,2016-12-02,215,10,173511.91970866162
POJPO,2017-08-06,260,13,37641.2827637445
AOMRG,2016-10-31,989,7,171332.02803273028
FHPRD,2017-03-25,1368,13,187529.1050946251
BSUJO,2017-10-04,51,12,118328.5099070908
TBAHN,2017-05-17,1101,9,82344.29505645935
EAUYH,2017-11-06,274,9,118526.88744705934
LHCEE,2016-12-25,1159,5,13631.049833613384
FCQHB,2017-08-26,1269,14,186600.53849267316
OHHYK,2017-05-23,722,15,165094.1211141871
NHEDV,2016-10-04,564,1,111753.11639571654
LQCRQ,2017-09-02,603,3,97178.71901684832
MNIYZ,2016-10-08,1223,12,17161.66362523528
QVNPT,2017-12-01,573,11,149601.13054331366
KMESN,2017-11-08,783,13,139249.78561898996
DPZHH,2017-02-04,1319,15,106409.14162237238
DEQXL,2017-10-18,708,6,173107.76500227975
OGJVR,2016-07-27,91,15,25803.680279926477
WMVJM,2016-10-08,549,2,29444.205230714848
MXOBU,2016-07-16,556,7,43772.3876507123
PIKUK,2016-08-02,705,11,32183.27236673979
ZHPFY,2016-09-18,506,8,175298.15970427654
CUZIJ,2016-11-09,695,6,94165.76566396664
MMYIQ,2017-05-19,1274,13,3423.4459020680897
QUJXR,2017-04-26,417,5,139846.478161353
JETJL,2017-04-17,290,6,50857.2737111691
XVFXA,2017-02-03,775,12,144338.72790391863
PNJBD,2017-04-16,1328,14,129040.03986301778
OOTWA,2017-05-03,594,5,41085.326859931134
EVNRF,2017-11-11,944,11,168252.79169893396
MQWBK,2017-11-13,641,3,22977.4858319993
FUQAT,2017-08-30,384,16,155616.18550386556
XDIYH,2016-09-20,918,16,4998.301951114392
YMJCK,2017-02-24,308,7,36001.78242925069
CVGMN,2017-07-14,487,4,96193.23847170915
BVRBA,2017-07-16,135,1,159798.24766690106
NEZGE,2017-10-14,453,6,80535.64791467876
JIYMR,2017-10-20,1409,15,159167.02272524187
LINEI,2017-02-25,334,12,130667.60407637015
VBGZM,2016-10-17,1443,12,131968.18269626866
BPBTJ,2016-07-10,1291,14,14452.32930347724
HOUUH,2017-03-09,332,14,102935.2416515215
KXPYG,2017-01-03,261,13,121006.15002702175
XKBJE,2016-10-02,1383,5,59637.523066702
BNKVX,2016-10-29,756,7,198665.0961944181
OZUVU,2016-11-23,61,15,69894.14751323409
FEVSM,2016-12-12,1342,9,179123.3303468101
NLQTW,2017-07-28,1348,2,38950.97356730681
IRHQI,2016-12-09,1388,13,181777.19209453883
OBMXC,2017-09-29,1059,1,171617.1395598755
HPJUI,2016-09-06,1179,8,49519.11808471856
BNRRB,2017-09-18,802,7,96320.4960239418
NYEZJ,2016-12-15,563,4,24281.519887745806
CRBKL,2016-10-17,977,14,29543.577542398823
OGOUH,2017-02-01,192,1,124966.93026415477
XNSOS,2017-07-15,39,4,170345.28867770717
DEQEE,2017-12-10,1420,5,191592.3919090909
TCRPD,2016-12-11,805,8,74886.75853572477
BOJHV,2017-07-28,745,8,104958.69824279437
YXDTP,2016-12-20,196,5,47543.926792895145
IUTCQ,2017-11-07,1017,1,198428.77655150296
KXUAB,2016-09-07,785,5,142256.18480539133
NAWBM,2017-08-29,162,7,131720.4240101927
FKXZK,2017-03-24,1337,10,173061.95996328976
UBRBQ,2017-09-11,570,1,39847.436690907576
GNGLJ,2016-10-30,915,2,96700.62346020211
QNOXZ,2016-11-21,1286,3,33838.75387628412
JRYQG,2017-05-11,713,5,27605.514950193166
EBHZV,2017-11-29,948,1,172885.64705792174
AUAIA,2016-09-02,1401,9,5769.684060610048
BBOXZ,2017-07-10,1093,9,38613.66193532485
DQPZC,2017-01-09,1045,2,193390.939341657
RVJLV,2017-03-23,614,14,149564.95056356824
KMJJZ,2016-11-24,351,11,152987.62222233188
AYADS,2016-11-14,394,3,120089.87514523357
AWLSK,2017-05-14,1269,14,175266.6716216579
OCMHP,2017-05-30,1366,1,69555.25812652435
ZNXFI,2017-04-13,481,7,81121.81165733143
CKOSN,2016-11-01,1241,2,141319.33759074565
GRMRH,2017-08-21,189,1,106866.56827699339
LLVUT,2017-08-04,311,3,80681.23450694067
MAGYV,2017-08-16,960,13,132004.31774971812
SYYQO,2017-06-09,576,14,15394.472714994057
XRTZH,2017-11-26,992,7,90426.08804739374
HWGYY,2017-06-30,1196,3,78933.61544937287
DOKQC,2017-04-11,1447,14,72204.97329221285
ATFYR,2017-08-08,1138,16,195427.65364822815
BXTZH,2017-05-26,616,3,139038.45413099002
ITEEC,2017-07-19,733,12,11451.37394308644
NSGMF,2016-11-10,162,6,174721.0275149348
DHQKK,2017-05-02,1248,11,38876.441497238986
NSQRS,2016-07-25,619,14,51555.39455945315
PYPHI,2016-10-31,962,7,161010.9781770699
UUXJI,2017-07-21,641,7,194051.55578781868
PRBRM,2016-11-28,667,1,114616.13912311073
GKMGR,2016-10-18,621,7,73017.31490975062
XATSD,2016-11-09,1348,2,58430.2522893962
PUSZS,2017-05-21,437,14,55906.68447908487
OWWCI,2017-01-20,101,1,36473.769270124554
OKZZC,2017-07-03,1347,4,12082.659610336654
MVWQL,2016-11-14,574,4,166862.68044836938
PMYRS,2016-11-03,377,11,89040.05962424373
ANCBL,2016-12-01,297,9,49971.137104921894
ORPJW,2016-07-17,1472,2,199433.27379712352
QDUGL,2016-10-11,727,2,169080.19701101363
JUSFD,2017-11-15,1122,4,179231.05725315027
AMCII,2016-07-30,568,3,6034.953496693518
SYKYI,2017-01-07,84,15,130314.41889930284
MEGTE,2017-12-26,216,14,190929.76753043788
MLTIG,2017-02-17,1100,10,159068.3252519153
KAJWB,2017-06-16,374,10,181957.28954133164
QRSNW,2017-12-27,717,15,143410.38135898404
VQYLD,2016-08-23,389,3,48600.951293185644
TPYIL,2016-07-04,1231,10,159210.883898561
ESFBL,2017-09-10,1243,12,151289.77837690708
XRWIV,2017-02-23,460,5,69450.79971636308
PPFKF,2016-09-11,1044,3,50472.872425516165
BCXNZ,2016-11-19,1340,9,124524.60342672182
TKSFF,2017-04-27,1027,3,176785.74615683898
BXTQZ,2016-12-19,245,5,32012.40623211372
WIXYV,2016-11-01,320,9,30525.189100053685
QERTY,2017-04-13,259,13,141602.14187181526
VPRZM,2016-12-14,364,14,75914.0403626577
BCZHD,2017-02-12,775,10,61526.99671772219
NOVNL,2017-08-22,310,16,79714.89285325288
UDNSP,2016-11-09,844,9,133645.4365601372
GVOGN,2017-05-08,233,6,108666.69052948881
HDZLU,2017-04-01,809,6,40399.900793053224
DKRUT,2016-08-06,937,11,80223.4860077681
HSEXN,2017-06-20,445,13,160793.57913409814
QNFVH,2016-08-16,404,14,42383.93967675178
OUQQW,2017-02-27,1288,12,134281.3911836045
JFMVU,2017-06-12,253,4,139476.06392540364
VMIZR,2017-07-21,1380,1,155369.47932235364
UEVCB,2016-07-13,1391,9,84032.30434002793
BVGKF,2017-04-19,1435,11,183939.56895940515
FEUAC,2016-07-02,1145,7,145862.7231803316
ZWTIV,2017-02-12,1262,2,159152.92502392345
AWSPU,2017-12-06,39,5,85069.00577141767
NSQOZ,2016-12-25,795,13,16797.34276417073
PTDKV,2017-02-06,984,1,54378.24415345221
MIXME,2017-05-10,267,16,132202.22008652415
XWQRT,2016-09-23,515,15,143632.32541162343
LWFFD,2017-09-15,990,1,192331.84122397733
MARTX,2016-08-21,1044,13,117100.10038284553
NCAUL,2016-12-15,1,12,90156.84228207996
UFWHD,2017-04-02,815,12,99530.00666278649
FZDWC,2017-04-24,291,11,120618.87773700454
JJJCO,2017-02-23,1298,14,19161.5044140915
PHOIO,2017-03-23,42,8,6829.828731885023
WHTPK,2017-05-31,1378,9,84184.14175145084
HNTIH,2017-10-15,1288,4,30418.72886078929
WKZXO,2017-07-07,1428,1,112057.06248754366
RLNRQ,2016-09-20,1287,5,74768.18235404862
AZQXU,2017-05-20,960,10,42231.357300366646
AYNQX,2016-08-20,574,6,148975.6633599684
IFCOP,2016-10-08,1110,14,71148.38146222713
GLIFH,2017-01-08,1392,1,68145.72892521722
TXWEG,2017-06-11,999,16,93926.1228752654
WJHWT,2016-12-27,525,10,42654.57939220294
XSZWA,2017-09-12,419,3,49571.81170291971
NIVUZ,2017-10-16,1283,15,15910.03318362969
WPGOF,2017-12-26,1446,4,17203.539408625602
GZNJL,2016-08-31,1214,10,78427.28217491333
OUYWJ,2016-12-23,1324,15,176613.36804543907
AFBPS,2017-12-04,854,13,94630.92470921126
BAJXZ,2017-01-30,460,1,23415.20009870166
EHLBF,2017-03-29,526,3,117503.06590907158
AAZHG,2017-12-14,1202,6,3225.0842554140345
EODCN,2017-02-16,535,11,165094.35133146905
SOYZE,2017-09-14,1341,3,157112.3700178922
YSBEL,2017-11-25,1194,4,171741.69257641042
VWOHG,2017-07-11,1435,16,13494.427280612297
EBERW,2017-10-23,1336,5,186466.01808340792
CBXTL,2016-07-17,1453,11,178536.1763921834
JRAIQ,2017-09-26,708,11,36641.36325680223
XWARX,2017-05-15,1381,4,111609.49666288571
SFLVJ,2016-10-28,20,3,142415.88019219492
EWQHJ,2017-11-24,39,5,151943.5924801108
JNALN,2016-07-24,411,2,81329.68368528908
PSQIX,2017-06-15,490,1,141392.18927165293
CBVBB,2017-01-29,87,1,5735.39817058879
EKVZI,2017-10-16,612,15,137444.3263677923
BMAZS,2017-02-24,184,10,187644.67588856997
LWSIB,2017-09-06,74,14,116335.21824466375
GXZQS,2016-11-29,274,14,144481.61171737663
HZXKT,2016-09-06,357,11,179598.83166693442
ZQCKA,2016-10-14,145,5,198706.94289295218
NDEAC,2017-09-28,676,12,198211.5926401898
HCPWW,2016-07-07,604,8,179567.58727900896
VQOFG,2016-08-20,837,10,125348.93175462936
BTTJX,2017-12-02,693,1,164478.86793779433
CUFVT,2017-08-20,25,7,154073.0898430146
SOGPJ,2017-03-09,729,2,144986.22923860466
YDGDT,2017-10-07,1466,12,86087.79368494503
RCAXP,2017-12-03,133,8,148603.78648755493
NWTKP,2017-08-29,1353,1,83327.12105273068
STHZH,2017-06-02,1261,2,191978.6552498429
SIHLD,2016-11-04,14,3,132849.23875538778
ELXAN,2017-11-07,76,8,147284.04797899054
AHJJB,2017-12-06,258,1,6527.302049568951
YIWMD,2017-03-22,402,3,12050.777968993676
JWJRF,2016-11-10,162,15,46105.45118402427
ADJNR,2017-09-23,218,1,66243.90787850916
XXWOU,2016-09-30,1095,10,115937.60135611366
AURHN,2016-08-28,330,8,175800.90034196817
SSWIQ,2017-01-13,649,15,198158.33001530365
POWSR,2017-11-28,819,8,120572.13123086834
CBONA,2017-01-04,1374,6,102304.52733265782
WFMJD,2017-08-30,1484,8,32748.72373711193
GSSVQ,2017-03-15,1289,14,88342.69005427558
UCBKJ,2016-08-02,1325,10,139536.13818346153
XJVAW,2017-07-01,147,5,87556.34583985295
QXIVU,2017-09-10,298,10,114884.8654818815
RJAXK,2017-09-06,70,12,48195.365937526025
WQCWJ,2017-05-05,114,10,97633.05483730402
PNTFJ,2017-09-22,275,15,1253.279152437381
BGMRN,2017-11-11,1402,8,10460.949915657959
HMZSX,2017-12-29,1496,13,134602.25791655082
JXMCI,2017-02-26,8,14,106492.86727318483
JEHUR,2017-02-27,1234,6,43945.3290752075
RZKYT,2017-08-30,1103,15,51748.19377696182
JXKHQ,2016-12-13,1227,5,81081.183700095
BLACA,2017-02-21,2,7,38793.76970100396
AGEXZ,2017-01-13,702,2,119179.16070679817
KTZCS,2016-11-07,581,9,26132.82867593909
